,fullTimeEmployees,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,revenuePerShare,quickRatio,recommendationMean,enterpriseToRevenue,enterpriseToEbitda,heldPercentInstitutions,priceToBook,beta,enterpriseValue,priceToSalesTrailing12Months,pegRatio,ticker
1,50000,0.5016,0.21999,0.69647,,0.041,0.35287997,28453249024,115,38883000000,,167.5,147.17,0.261,,,23,164.73,502.701,,200,9829999616,77596999680,56725000192,5.558,32.034,,2.1,5.775,11.513,0.70272005,19.20026,0.784803,327589560320,4.5866704,5.16,ABBV
1,309000,0.18044001,0.12572,0.53417,12161000448,0.093,0.14864999,14588999680,160,42429000000,6726750208,186,164.85,1.468,0.865,0.08157,20,183.84,218.608,0.63195,200,6904000000,40049000448,80853999616,4.993,58.473,0.632,2.4,3.348,18.554,0.73058,14.354754,0.653431,270683586560,2.8190303,3.42,PEP
1,288000,0.047119997,0.02623,0.12654,9932000256,0.159,0.03842,9905000448,411.8,25245000000,5451125248,597.5,476.25,0.364,1.032,0.08555,30,592.33,46.285,0.30976,678,12295999488,9246000128,210219008000,27.742,474.195,0.461,2.2,1.109,23.542,0.68764997,11.438418,0.669117,233179217920,1.0045928,3.15,COST
1,67000,0.39958,0.2627,0.71115994,,0.496,0.34412,21568749568,76,35463000000,,95,89.91,0.359,,,24,95.73,90.522,,115,8110000128,34631000064,53978001408,3.208,21.342,,2.2,4.646,11.627,0.7525,6.343305,0.460784,250778697728,4.207404,1.02,MRK
1,130000,0.31155002,0.18488,0.48382,9536000000,0.193,0.24274,12812000256,525,19638000000,5712875008,694.05,558.1,-0.046,1.556,0.07863,22,675.44,80.851,0.19979,720,2752000000,33255000064,41123000320,7.02,104.506,0.882,1.9,6.015,19.307,0.90467,5.6811585,0.82598,247360634880,5.3478146,2.46,TMO
1,79500,0.31019,0.22939,0.63300997,14272000000,0.064,0.27347,15989999616,45,31894000000,10487374848,62.5,45.25,0.183,1.42,0.092810005,24,62.74,31.927,0.30082,73,21116000256,12609999872,51548999680,5.083,12.247,1.201,2.5,3.782,12.193,0.75448996,4.468694,0.946568,194965143552,3.7022414,1.97,CSCO
1,152000,0.14468001,0.04223,0.34341,5281999872,0.343,0.075050004,10560000000,,22287000000,5871374848,,108.67,63.358,1.096,0.016900001,,,52.254,0.036760002,,14444000256,54131998720,72988000256,7.934,40.153,0.976,2,3.516,24.304,0.65793,2.2310045,1.155882,256654311424,2.7062683,0.61,DIS
1,113000,0.3032,0.17354,0.58074003,,0.138,0.22483,13496500224,115,25009000000,,141,116.57,0.37,,,20,141.77,53.439,,158.5,10248999936,19250999296,44514000896,5.812,25.139,,1.8,4.704,15.514,0.76305,5.98839,0.733823,209379229696,4.6306686,1.92,ABT
1,73300,0.17033,0.13063,0.46207002,6048999936,0.05,0.15399,7975000064,116,20001000000,3625999872,165,120.95,-0.033,3.058,0.12055001,32,165.25,85.468,0.45744,203,13466999808,12657000448,46819999744,8.557,29.621,1.961,2.1,4.174,24.506,0.84069,12.824727,0.958333,195438804992,4.0888953,1.88,NKE
1,118500,0.33588,0.15934,0.57462,36665999360,0.021,0.21447,45108998144,44,77312000000,5033625088,58,50.81,-0.139,0.764,0.050619997,25,59.28,214.05,0.27811,71,1788999936,182317006848,134300000256,0.426,32.26,0.561,2.8,2.803,8.344,0.67196,2.7303994,0.368137,376384487424,1.5881474,2.47,VZ
1,699000,0.16775998,0.11274,0.32298002,7523945984,0.245,0.15122,9511400448,,16364128000,5436092928,,304.95,0.139,1.235,0.12712,,,16.794,0.32422,,5472146944,3553144064,56694923264,8.639,89.462,1.098,,3.332,19.863,0.74403,9.470497,1.235294,188926197760,3.4021323,2.05,ACN
1,25988,0.40398,0.29903,0.88044,7226999808,0.091,0.36723998,6520999936,455,13920000000,5721625088,570,429.76,0.019,1.039,0.1454,27,563.7,33.866,0.35334998,650,4701000192,4664999936,16142000128,9.949,33.93,0.887,1.9,11.588,28.684,0.8517,13.824873,1.048039,187050377216,12.667563,2,ADBE
1,100000,0.49595,0.29929,0.54545,,0.106,0.41678002,11785624576,245,12580200000,,284,248.36,-0.279,,,32,280.54,,,314,4709499904,49353199616,23763900416,6.334,31.879,,2.1,9.675,19.508,0.70074,,0.611764,229915262976,7.8095665,3.21,MCD
1,189000,0.29402,0.11963,0.66635,28651999232,0.14,0.17762,35337998336,40,77935000000,12694875136,58,42.93,0.099,0.856,0.04829,32,56.03,103.342,0.14667,70,8880000000,99730997248,120190001152,1.982,26.333,0.714,2.2,2.253,7.664,0.86013,2.0477962,0.931862,270841151488,1.6319473,0.85,CMCSA
1,78000,0.34647,0.21319,0.60869,8455000064,0.121,0.27278998,10492000256,265,18056000000,5650874880,332.5,266.05,0.01,1.679,0.065019995,18,327.8,49.346,0.14679,363.4,3716999936,22877999104,30282999808,5.191,42.332,1.088,1.9,6.678,19.276,0.80125,4.730703,0.779901,202244079616,6.2778854,2.11,DHR
1,78000,0.34647,0.21319,0.60869,8455000064,0.121,0.27278998,10492000256,,18056000000,5650874880,,1453.68,0.01,1.679,0.065019995,,,49.346,0.14679,,3716999936,22877999104,30282999808,5.191,42.332,1.088,,33.36,96.286,1.23747,25.848257,0.779901,1010228592640,,,DHR-PB
1,122900,0.40599,0.31684,0.54315,30534000640,-0.067,0.24849,31547000832,37,43815000000,8473500160,50.5,43.39,1.415,2.134,0.07382,40,52.36,36.114,0.26915002,74,38696001536,37247000576,77704003584,9.463,19.117,1.561,2.9,2.275,5.604,0.64538,1.9588281,0.549019,176790503424,2.2710173,3.72,INTC
1,246577,0,0.25179002,0,,-0.061,0.34287,,49,82948000000,,60,44.82,-0.138,,0.011460001,24,59.96,,0.120799996,69,383696011264,202437001216,81747001344,101.242,20.517,,2,0.073,,0.74325997,1.0560542,1.15098,5951110656,2.1861064,1.42,WFC
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,23.96,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-0.819,,0.00043000001,0.5645484,1.15098,-66966466560,2.3557484,,WFC-PQ
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,25.82,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-0.733,,0.23712,0.60837394,1.15098,-59917262848,2.3281808,,WFC-PR
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,24.26,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-0.856,,0.21858,0.57161707,1.15098,-69960482816,2.4232283,,WFC-PY
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,1258,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,54.216,,0.56372,29.641148,1.15098,4432017752064,2.4051535,,WFC-PL
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,18.9,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-1.112,,,0.44532406,1.15098,-90880704512,1.153007,,WFC-PC
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,20.18,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-1.055,,,0.4754836,1.15098,-86257033216,,,WFC-PA
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,20.42,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-1.048,,,0.4811385,1.15098,-85688549376,,,WFC-PZ
1,246577,0,0.25179002,0,,-0.061,0.34287,,,82948000000,,,18.49,-0.138,,0.011460001,,,,0.120799996,,383696011264,202437001216,81747001344,101.242,20.517,,,-1.128,,,0.4356636,1.15098,-92245065728,,,WFC-PD
1,73541,0.11566,0.05451,0.73478997,6000000000,0.259,0.022720002,3064000000,219,19466000000,8617749504,297.5,184.91,,1.049,0.00466,46,289.83,24.72,0.028989999,385,10536999936,14369999872,26492000256,10.643,27.74,0.931,1.8,6.72,58.098,0.80164003,3.1890934,1.091666,178013601792,6.8751454,2.28,CRM
1,32200,0.45002997,0.13311,0.80127996,,0.052,0.22193001,21133250560,63,37048000000,,80,75.17,-0.337,,,21,79.16,126.634,,94,17220999168,45596000256,46960001024,7.901,21.36,,2.2,4.099,9.109,0.78186,4.483746,0.535784,192501989376,3.5530312,2.28,BMY
1,72327,0.32644,0.12657,0.42423,9616000000,0.134,0.1822,10368000000,256.96,13250000000,6152500224,339.96,331.9,0.235,0.845,0.043119997,15,328.5,37.071,0.09017,360.02,4464000000,16455999488,31761000448,8.802,61.904,0.649,1.7,5.404,16.554,0.81134003,3.8381035,0.90196,171630133248,5.35616,,LIN
1,51,0,0,0,-9404443,7.173,-14.4628,-8732932,,-5434950,-10996296,,6.1,,2.245,-0.54342,,,,,,5961760,13506079,607783,0.195,0.156,1.97,,389.852,-27.132,0,,2.038235,236945360,210889.47,,ASTI
1,31000,0.56108004,0.43339002,0.68676,9050000384,0.144,0.51265997,10638000128,150,12376000000,4391249920,187.5,172.33,0.257,5.542,0.27051002,28,191.93,55.233,0.67957,297,9825000448,7742000128,18959998976,10.655,20.536,4.597,2.6,8.17,14.562,0.85913,13.09598,0.946568,154910294016,8.394053,1.87,TXN
1,45000,0.36889,0.2842,0.58507,9205000192,0.407,0.32648,14483999744,150,19304000000,7258500096,200,141.22,0.68,1.609,0.19668,32,202.8,117.647,1.07546,471.6,11546000384,15680000000,39264002048,10.309,34.87,1.164,2,4.09,11.087,0.76098,15.967888,1.22598,160586792960,4.0282803,0.72,QCOM
1,534000,0.16684,0.108950004,0.24434,14956000256,0.064,0.13652,16476999680,148,26867000000,8052375040,226,185.49,-0.446,1.52,0.12630999,28,224.79,164.766,0.95251,270,12545000448,25429999616,98757001216,14.354,112.93,1.41,2.3,1.723,10.33,0.71172,13.386981,1.113725,170205528064,1.632463,0.98,UPS
1,69600,0.44206002,0.28581,0.67249,12650000384,0.021,0.41019002,13953999872,91,21375000000,9963625472,111.5,105.52,-0.031,0.917,0.1985,14,109.12,,,129,4622000128,29357000704,31566000128,2.982,20.287,0.443,2.4,5.754,13.017,0.77129,,0.789705,181641035776,5.2042294,4.6,PM
1,75000,0.32872,0.03484,0.57114,14101000192,0.018,0.1339,26454999040,128,45546000000,5292624896,160,136.61,-0.23,0.815,0.03254,28,165.71,162.218,0.04113,208,3244999936,113513996288,80479002624,2.589,64.44,0.575,1.9,3.288,10.002,0.42775002,2.4936113,0.507843,264606859264,2.1202142,0.77,TMUS
1,30189,0.52844,0.30058,0.58108,9310000128,0.172,0.43075,11975999488,215,12747000000,4572499968,275,224,0.285,0.71,0.09696999,27,273.41,284.399,0.48396,310,955000000,33834999808,22663000064,1.521,35.139,0.533,2.1,7.943,15.032,0.8312,10.371811,1.17549,180020019200,6.354156,1.21,UNP
1,76541,0,0.24780001,0.88905,,-0.058,0.38568002,,,53295000000,,,84.12,-0.078,,,,,335.26,,,570016006144,357379997696,58837000192,324.61,33.251,,,-1.057,,0.64122003,1.5417042,1.447549,-62212960256,2.5654907,0,MS
1,76541,0,0.24780001,0.88905,,-0.058,0.38568002,,,53295000000,,,20.31,-0.078,,,,,335.26,,,570016006144,357379997696,58837000192,324.61,33.251,,,-2.829,,0.13582,0.37223026,1.447549,-166431555584,1.2154933,,MS-PA
1,76541,0,0.24780001,0.88905,,-0.058,0.38568002,,,53295000000,,,25.89,-0.078,,,,,335.26,,,570016006144,357379997696,58837000192,324.61,33.251,,,-2.686,,0.32145,0.47449735,1.447549,-158020321280,1.173492,,MS-PI
1,77000,0,0.24780001,0.88905,7330999808,-0.058,0.38568002,,,53295000000,,,25.49,-0.078,1.935,0.01232,,,341.361,0.13859001,,604909993984,355271999488,58837000192,345.804,33.251,1.701,,-3.333,,0.41881,0.47046012,1.410267,-196124753920,1.1776382,,MS-PK
1,76541,0,0.24780001,0.88905,,-0.058,0.38568002,,,53295000000,,,26.11,-0.078,,,,,335.26,,,570016006144,357379997696,58837000192,324.61,33.251,,,-2.687,,0.36915,0.47852942,1.447549,-158072995840,1.1475629,,MS-PF
1,77000,0,0.24780001,0.88905,7330999808,-0.058,0.38568002,,,53295000000,,,26.41,-0.078,1.935,0.01232,,,341.361,0.13859001,,604909993984,355271999488,58837000192,345.804,33.251,1.701,,-3.306,,0.35297,0.48744026,1.410267,-194515402752,1.1386595,,MS-PE
